Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,3-комн,Каховская,3 мин. пешком,14,170,Дизайнерский,2010,,Монолитный,40 000 000 
Вторичка,2-комн,Академическая,15 мин. пешком,5,"51,5",Евроремонт,1984,,Панельный,12 800 000 
Новостройка,2-комн,Измайловская,15 мин. пешком,6,"62,8",,1960,2021,Кирпичный,8 050 000 
Новостройка,2-комн,Измайловская,15 мин. пешком,6,"83,4",,1960,2021,Кирпичный,10 291 400 
Новостройка,2-комн,Измайловская,15 мин. пешком,6,"83,6",,1960,2021,Кирпичный,10 315 600 
Новостройка Апартаменты,2-комн,Белорусская,14 мин. пешком,6,"56,9",,,2020,,15 854 300 
Новостройка,1-комн,Измайловская,15 мин. пешком,6,"48,6",,1960,2021,Кирпичный,6 420 800 
Новостройка,3-комн,Измайловская,4 мин. на транспорте,6,"99,8",,1960,2020,Кирпичный,11 976 400 
Новостройка,1-комн,Измайловская,15 мин. пешком,6,"52,9",,1960,2021,Кирпичный,6 918 300 
Вторичка,3-комн,Баррикадная,12 мин. пешком,7,130,Евроремонт,1998,,Кирпичный,53 000 000 
Новостройка,2-комн,Измайловская,15 мин. пешком,6,"63,3",,1960,2021,Кирпичный,8 112 500 
Вторичка,2-комн,Улица Горчакова,8 мин. пешком,9,54,Косметический,1996,,Панельный,8 690 000 
Вторичка,4-комн,Библиотека им. Ленина,3 мин. пешком,5,150,Дизайнерский,1911,,Кирпичный,62 000 000 
Вторичка,5-комн,Чистые пруды,,3,178,Дизайнерский,1901,,Кирпичный,90 000 000 
Новостройка,3-комн,Измайловская,4 мин. на транспорте,7,"70,3",,1960,2020,Кирпичный,8 846 900 
Новостройка,3-комн,Измайловская,15 мин. пешком,8,"124,9",,1960,2021,Кирпичный,14 938 200 
Вторичка,Многокомнатная квартира,Александровский сад,,3,250,Без ремонта,1912,,Кирпичный,186 000 000 
